iter	RMSE
459	37007.79916
460	36991.38352
461	36973.42983
462	36948.75245
463	36938.97681
464	36928.16875
465	36902.39917
466	36886.6173
467	36872.31806
468	36858.07549
469	36841.3722
470	36817.68369
471	36802.3138
472	36788.77807
473	36783.24879
474	36772.205
475	36760.91778
476	36744.79714
477	36728.45259
478	36715.27036
479	36694.66887
480	36684.55943
481	36655.73662
482	36642.67779
483	36634.24723
484	36615.14811
485	36594.49543
486	36571.36541
487	36553.27803
488	36546.5755
489	36529.59932
490	36517.49899
491	36490.21019
492	36469.03667
493	36457.46885
494	36425.94106
495	36413.34221
496	36397.98413
497	36383.14759
498	36367.68571
499	36348.60299
